mnemonic,title,processors,section,printed_page,pdf_page,form,x,n,z,v,c,x_note,n_note,z_note,v_note,c_note,qualifier
"ROXL, ROXR",Rotate with Extend,(M68000 Family),4,4-163,267,table,*,*,*,0,*,52,10,5,,53,
RTD,Return and Deallocate,"(MC68010, MC68020, MC68030, MC68040, CPU32)",4,4-166,270,prose,—,—,—,—,—,,,,,,
RTM,Return from Module,(MC68020),4,4-167,271,prose,*,*,*,*,*,54,54,54,54,54,
RTR,Return and Restore Condition Codes,(M68000 Family),4,4-168,272,prose,*,*,*,*,*,55,55,55,55,55,
RTS,Return from Subroutine,(M68000 Family),4,4-169,273,prose,—,—,—,—,—,,,,,,
SBCD,Subtract Decimal with Extend,(M68000 Family),4,4-170,274,table,*,U,*,U,*,1,,2,,56,Normally the Z condition code bit is set via programming before the start of an operation. This allows successful tests for zero results upon completion of multiple-precision operations.
Scc,Set According to Condition,(M68000 Family),4,4-172,276,prose,—,—,—,—,—,,,,,,
SUB,Subtract,(M68000 Family),4,4-174,278,table,*,*,*,*,*,57,4,5,6,23,
SUBA,Subtract Address,(M68000 Family),4,4-177,281,prose,—,—,—,—,—,,,,,,
SUBI,Subtract Immediate,(M68000 Family),4,4-179,283,table,*,*,*,*,*,57,4,5,8,27,
SUBQ,Subtract Quick,(M68000 Family),4,4-181,285,table,*,*,*,*,*,57,4,5,8,27,
SUBX,Subtract with Extend,(M68000 Family),4,4-183,287,table,*,*,*,*,*,57,4,2,8,27,Normally the Z condition code bit is set via programming before the start of an operation. This allows successful tests for zero results upon completion of multiple-precision operations.
SWAP,Swap Register Halves,(M68000 Family),4,4-185,289,table,—,*,*,0,0,,58,59,,,
TAS,Test and Set an Operand,(M68000 Family),4,4-186,290,table,—,*,*,0,0,,60,61,,,
TRAP,Trap,(M68000 Family),4,4-188,292,prose,—,—,—,—,—,,,,,,
TRAPcc,Trap on Condition,"(MC68020, MC68030, MC68040, CPU32)",4,4-189,293,prose,—,—,—,—,—,,,,,,
TRAPV,Trap on Overflow,(M68000 Family),4,4-191,295,prose,—,—,—,—,—,,,,,,
TST,Test an Operand,(M68000 Family),4,4-192,296,table,—,*,*,0,0,,62,63,,,
UNLK,Unlink,(M68000 Family),4,4-194,298,prose,—,—,—,—,—,,,,,,
UNPK,Unpack BCD,"(MC68020, MC68030, MC68040)",4,4-195,299,prose,—,—,—,—,—,,,,,,
ANDI to SR,AND Immediate to the Status Register,(M68000 Family),6,6-2,456,table,*,*,*,*,*,11,12,13,14,15,
CINV,Invalidate Cache Lines,"(MC68040, MC68LC040)",6,6-3,457,prose,—,—,—,—,—,,,,,,
cpRESTORE,Coprocessor Restore Functions,"(MC68020, MC68030)",6,6-5,459,prose,—,—,—,—,—,,,,,,
cpSAVE,Coprocessor Save Function,"(MC68020, MC68030)",6,6-7,461,prose,—,—,—,—,—,,,,,,
CPUSH,Push and Invalidate Cache Lines,"(MC68040, MC68LC040)",6,6-8,462,prose,—,—,—,—,—,,,,,,
EORI to SR,Exclusive-OR Immediate to the Status Register,(M68000 Family),6,6-10,464,table,*,*,*,*,*,33,34,35,36,37,
MOVE from SR,Move from the Status Register,"(MC68EC000, MC68010, MC68020, MC68030, MC68040, CPU32)",6,6-17,471,prose,—,—,—,—,—,,,,,,
MOVE to SR,Move to the Status Register,(M68000 Family),6,6-19,473,prose,*,*,*,*,*,64,64,64,64,64,
MOVE USP,Move User Stack Pointer,(M68000 Family),6,6-21,475,prose,—,—,—,—,—,,,,,,
MOVEC,Move Control Register,"(MC68010, MC68020, MC68030, MC68040, CPU32)",6,6-22,476,prose,—,—,—,—,—,,,,,,
MOVES,Move Address Space,"(MC68010, MC68020, MC68030, MC68040, CPU32)",6,6-24,478,prose,—,—,—,—,—,,,,,,
ORI to SR,Inclusive-OR Immediate to the Status Register,(M68000 Family),6,6-27,481,table,*,*,*,*,*,46,47,48,49,50,
PFLUSH,Flush Entry in the ATC,(MC68030 only),6,6-32,486,prose,—,—,—,—,—,,,,,,
PFLUSH,Flush ATC Entries,"(MC68040, MC68LC040)",6,6-35,489,prose,—,—,—,—,—,,,,,,
PFLUSH,Flush ATC Entries,(MC68EC040),6,6-37,491,prose,—,—,—,—,—,,,,,,
PLOAD,Load an Entry into the ATC,"(MC68030 only, MC68851)",6,6-43,497,absent,,,,,,65,65,65,65,65,
PMOVE,Move to/from MMU Registers,(MC68030 only),6,6-47,501,prose,—,—,—,—,—,,,,,,
PMOVE,Move to/from MMU Registers,(MC68EC030),6,6-51,505,prose,—,—,—,—,—,,,,,,
PTEST,Test a Logical Address,(MC68030 only),6,6-63,517,prose,—,—,—,—,—,,,,,,
PTEST,Test a Logical Address,(MC68EC030),6,6-68,522,prose,—,—,—,—,—,,,,,,
PTEST,Test a Logical Address,"(MC68040, MC68LC040)",6,6-70,524,prose,—,—,—,—,—,,,,,,
PTEST,Test a Logical Address,(MC68EC040),6,6-72,526,absent,,,,,,65,65,65,65,65,
RESET,Reset External Devices,(M68000 Family),6,6-83,537,prose,—,—,—,—,—,,,,,,
RTE,Return from Exception,(M68000 Family),6,6-84,538,prose,*,*,*,*,*,66,66,66,66,66,
STOP,Load Status Register and Stop,(M68000 Family),6,6-85,539,prose,*,*,*,*,*,67,67,67,67,67,
